date,time,provider,device_name,latitude,longtitude,speed,ldws,lkas
2020-10-23,14:51:28,,,,,28,0,0
2020-10-23,14:51:29,,,,,27,0,1
2020-10-23,14:51:30,,,,,27,0,1
2020-10-23,14:51:31,,,,,28,0,1
2020-10-23,14:51:32,,,,,29,0,1
2020-10-23,14:51:33,,,,,29,0,1
2020-10-23,14:51:34,,,,,29,0,1
2020-10-23,14:51:35,,,,,29,0,1
2020-10-23,14:51:36,,,,,29,0,1
2020-10-23,14:51:37,,,,,28,0,1
2020-10-23,14:51:38,,,,,27,0,1
2020-10-23,14:51:39,,,,,26,0,1
2020-10-23,14:51:40,,,,,26,0,1
2020-10-23,14:51:41,,,,,26,0,1
2020-10-23,14:51:42,,,,,26,0,1
2020-10-23,14:51:43,,,,,26,0,1
2020-10-23,14:51:44,,,,,27,0,1
2020-10-23,14:51:45,,,,,28,0,1
2020-10-23,14:51:46,,,,,29,0,1
2020-10-23,14:51:47,,,,,30,0,1
2020-10-23,14:51:48,,,,,31,0,1
2020-10-23,14:51:49,,,,,32,0,1
2020-10-23,14:51:50,,,,,32,0,1
2020-10-23,14:51:51,,,,,32,0,1
2020-10-23,14:51:52,,,,,32,0,1
2020-10-23,14:51:53,,,,,33,0,1
2020-10-23,14:51:54,,,,,33,0,1
2020-10-23,14:51:55,,,,,33,0,1
2020-10-23,14:51:56,,,,,33,0,1
2020-10-23,14:51:57,,,,,33,0,1
2020-10-23,14:51:58,,,,,33,0,1
2020-10-23,14:51:59,,,,,33,0,1
2020-10-23,14:52:00,,,,,33,0,1
2020-10-23,14:52:01,,,,,33,0,1
2020-10-23,14:52:02,,,,,34,0,1
2020-10-23,14:52:03,,,,,34,0,1
2020-10-23,14:52:04,,,,,35,0,1
2020-10-23,14:52:05,,,,,36,0,1
2020-10-23,14:52:06,,,,,36,0,1
2020-10-23,14:52:07,,,,,36,0,1
2020-10-23,14:52:08,,,,,53,0,1
2020-10-23,14:52:09,,,,,43,0,1
2020-10-23,14:52:10,,,,,34,0,1
2020-10-23,14:52:11,,,,,43,0,1
2020-10-23,14:52:12,,,,,43,0,1
2020-10-23,14:52:13,,,,,34,0,1
2020-10-23,14:52:14,,,,,53,0,1
2020-10-23,14:52:15,,,,,36,0,1
2020-10-23,14:52:16,,,,,37,0,1
2020-10-23,14:52:17,,,,,73,0,1
2020-10-23,14:52:18,,,,,38,0,1
2020-10-23,14:52:19,,,,,38,0,1
2020-10-23,14:52:20,,,,,39,0,1
2020-10-23,14:52:21,,,,,39,0,1
2020-10-23,14:52:22,,,,,39,0,1
2020-10-23,14:52:23,,,,,40,0,1
2020-10-23,14:52:24,,,,,40,0,1
2020-10-23,14:52:25,,,,,40,0,1
2020-10-23,14:52:26,,,,,40,0,1
2020-10-23,14:52:27,,,,,40,0,1
2020-10-23,14:52:28,,,,,40,0,1
2020-10-23,14:52:29,,,,,40,0,1
2020-10-23,14:52:30,,,,,40,0,1
2020-10-23,14:52:31,,,,,40,0,1
2020-10-23,14:52:32,,,,,40,0,1
2020-10-23,14:52:33,,,,,41,0,1
2020-10-23,14:52:34,,,,,41,0,1
2020-10-23,14:52:35,,,,,40,0,1
2020-10-23,14:52:36,,,,,40,0,1
2020-10-23,14:52:37,,,,,40,0,1
2020-10-23,14:52:38,,,,,40,0,1
2020-10-23,14:52:39,,,,,43,0,1
2020-10-23,14:52:40,,,,,44,0,1
2020-10-23,14:52:41,,,,,45,0,1
2020-10-23,14:52:42,,,,,45,0,1
2020-10-23,14:52:43,,,,,54,0,1
2020-10-23,14:52:44,,,,,43,0,1
2020-10-23,14:52:45,,,,,42,0,1
2020-10-23,14:52:46,,,,,41,0,1
2020-10-23,14:52:47,,,,,41,0,1
2020-10-23,14:52:48,,,,,40,0,1
2020-10-23,14:52:49,,,,,39,0,1
2020-10-23,14:52:50,,,,,39,0,1
2020-10-23,14:52:51,,,,,39,0,1
2020-10-23,14:52:52,,,,,39,0,1
2020-10-23,14:52:53,,,,,39,0,1
2020-10-23,14:52:54,,,,,38,0,1
2020-10-23,14:52:55,,,,,38,0,1
2020-10-23,14:52:56,,,,,38,0,1
2020-10-23,14:52:57,,,,,38,0,1
2020-10-23,14:52:58,,,,,38,0,1
2020-10-23,14:52:59,,,,,38,0,1
2020-10-23,14:53:00,,,,,38,0,1
